series,n_tickers,n_snapshots,two_sided_pct,med_spread_c,med_bid_sz,med_ask_sz,avg_std_mid_c,toxicity_pct,total_vol_24h,total_oi,score,tier
KXPGAMAKECUT,312,698,97.8,8.0,500.0,2049.0,0.32,0.1,8080,8323,75.70699354583199,S
KXPGAR1TOP10,312,698,66.6,95.0,10.0,5.0,0.24,0.0,427,427,67.44350367467823,S
KXKBOTOTAL,20,104,100.0,65.0,6.0,5.0,0.1,0.0,25,24,58.68034508142219,S
KXMLBMENTION,19,14,97.0,9.0,5.0,8.0,0.47,0.0,277,276,55.148847715303795,S
KXLMBGAME,38,592,100.0,92.0,10.0,733.0,0.24,0.0,18,18,54.16376868966336,S
KXKBOSPREAD,20,104,100.0,68.0,5.0,6.0,0.08,0.0,16,16,52.4476134219972,S
KXTESTMATCH,4,698,100.0,92.0,10.0,433.0,0.3,0.0,15,15,51.50980806727719,S
KXTSAW,21,188,100.0,5.0,5.0,1.0,0.23,0.0,2265,1601,41.301171458036485,S
KXNASCARTOP5,38,698,60.7,8.0,100.0,100.0,0.21,0.1,1749,1749,39.50756628408524,S
KXPGATOP20,312,698,63.7,5.0,1000.0,54.0,0.39,0.0,52598,52776,36.83541901454374,S
KXRUGBYESLMATCH,3,698,100.0,90.0,200.0,5.0,0.38,0.0,5,5,35.96842909197556,S
KXKBORFI,5,104,87.9,90.0,6.0,5.0,0.11,0.0,5,5,31.61624917184652,S
KXAMSAVO,7,698,85.8,6.0,200.0,200.0,0.27,0.0,84,84,26.40871858442398,S
KXECULPGAME,3,698,100.0,4.0,1300.0,1200.0,0.19,0.0,194,194,23.854317374473784,S
KXMLBEXTRAS,13,698,100.0,5.0,617.0,50.0,0.25,0.0,5,5,11.989476363991852,S
KXWTASETWINNER,8,698,100.0,2.0,800.0,800.0,0.49,0.0,164,164,11.592115501530744,S
KXWCTOTAL,14,698,99.6,1.0,2408.0,2081.2,0.3,0.0,388268,244336,0.0,S
KXAFLGAME,4,25,100.0,1.0,1954.0,1273.0,0.29,0.0,984,978,0.0,S
KXPGAR2TOP10,312,698,75.5,97.0,10.0,5.0,0.16,0.0,0,0,0.0,S
KXWCGAME,6,693,100.0,1.0,16387.5,94202.6,0.19,0.0,149616,147670,0.0,S
KXCFLTOTAL,5,698,100.0,85.0,100.0,10.0,0.18,0.0,0,0,0.0,S
KXWTAMATCH,4,698,100.0,1.0,3523.8,15374.8,0.24,0.0,15507,15209,0.0,S
KXHORMUZMAX,7,698,100.0,1.0,1071.0,327.0,0.0,0.0,0,0,0.0,S
KXRT,44,698,100.0,1.0,1150.6,1648.0,0.39,0.1,41828,36226,0.0,S
KXVOTEPRIMARY,4,698,100.0,1.0,1544.0,1318.0,0.0,0.0,756,756,0.0,S
KXCLAUDE,4,698,100.0,1.0,284.9,1172.0,0.28,0.0,983,717,0.0,S
KXPPLMATCH,20,698,100.0,96.0,10.0,10.0,0.02,0.0,0,0,0.0,S
KXMESENATEPERSON,14,698,87.0,0.1,949.6,476.9,0.49,0.0,188087,138097,0.0,S
KXGRAMMYNOMSOTY,4,698,100.0,94.0,22.0,5.0,0.25,0.0,0,0,0.0,S
KXFEAR,15,698,100.0,1.0,2193.3,1381.0,0.02,0.0,3489,2951,0.0,S
KXCHNSLGAME,3,698,100.0,5.0,1500.0,773.0,0.36,0.0,0,0,0.0,S
KXURYPDGAME,3,698,100.0,4.0,1219.0,1200.0,0.16,0.0,0,0,0.0,S
KXATPDOUBLES,4,698,100.0,5.0,500.0,117.0,1.01,0.0,1449,1425,39.424791847680446,A
KXR6MAP,8,698,100.0,4.0,1000.0,202.7,0.82,0.1,2590,2451,34.00023173578411,A
KXWCTEAMTOTAL,16,698,99.8,4.0,1009.0,1045.4,1.56,0.1,83873,52614,30.166791915789652,A
KXWC2H,6,698,100.0,5.0,600.0,605.0,1.41,0.2,2658,2252,29.959367433834036,A
KXOWGAME,8,698,95.1,6.0,500.0,200.0,1.67,0.0,1649,1649,27.680505313790594,A
KXWC1HTOTAL,8,698,100.0,2.0,450.0,400.0,1.04,0.1,3955,3266,17.03521589431207,A
KXR6GAME,4,698,100.0,2.0,517.0,502.9,0.84,0.0,1913,1852,16.467537418434194,A
KXMLBF5,42,698,100.0,2.0,605.3,807.3,1.51,0.2,17161,15115,13.669124565536606,A
KXWCADVANCE,4,693,100.0,1.0,14772.7,1659736.5,0.61,0.2,2518634,2336239,0.0,A
KXWCSPREAD,9,698,99.8,1.0,2414.0,6212.1,0.97,0.1,173245,234411,0.0,A
KXHORMUZWEEKLY,9,698,100.0,1.0,186.0,193.0,1.38,0.0,6406,5784,0.0,A
KXLIUKELIMINATIONW,20,698,100.0,1.0,179.0,273.0,0.58,0.0,4524,4065,0.0,A
KXSONGRELEASEDATE,5,698,100.0,1.0,1205.0,1758.6,0.49,0.2,1302,351,0.0,A
KXMEDNOMJUL,12,698,100.0,1.0,7662.3,4189.5,0.81,0.1,74559,62623,0.0,A
KXWTIMAX,18,698,100.0,1.0,627.0,341.0,0.58,0.0,4619,3876,0.0,A
KXWC1H,6,698,100.0,1.0,1606.0,1600.6,0.52,0.1,10647,10702,0.0,A
KXLOLTOTALMAPS,14,698,100.0,71.0,10.0,20.0,1.96,1.1,25396,22509,79.84221731222843,B
KXWCSOA,27,698,98.3,22.0,10.0,163.8,2.41,1.5,60674,54010,68.20799774749331,B
KXNASCARTOP20,38,698,100.0,8.0,33.0,33.0,1.2,0.1,5629,5629,62.00680018479981,B
KXNASDAQ100U,90,698,83.4,54.0,84.4,85.0,1.79,1.2,3494,3507,59.728504712984936,B
KXWNBATOTAL,28,689,99.9,10.0,41.0,40.0,1.87,1.7,4659,2435,45.07181062092405,B
KXEARNINGSMENTIONLEVI,13,623,100.0,83.0,23.0,8.0,2.78,1.7,2359,1963,42.9791337027478,B
KXWCAST,41,698,80.5,35.0,10.0,200.0,3.15,1.1,36459,30965,41.2603640535951,B
KXMLBGAME,26,698,100.0,4.0,55.0,308.0,1.0,0.5,2164,2153,32.98737974807784,B
KXCS2GAME,38,698,100.0,4.0,66.5,59.0,1.59,1.0,86703,73242,29.26687802955369,B
KXLOLGAME,31,698,100.0,7.0,100.0,74.8,3.33,1.0,207076,196815,26.34546766999247,B
KXNASCARTOP10,69,698,94.8,8.0,100.0,100.0,2.98,0.5,11128,11627,25.15526102112678,B
KXMLBTOTAL,162,698,100.0,2.0,1036.0,1221.7,1.1,2.0,414884,378120,23.2994593580915,B
KXATPEXACTMATCH,6,698,100.0,3.0,26.0,650.0,0.7,0.0,790,784,22.0860316537792,B
KXATPSETWINNER,6,698,100.0,3.0,800.0,500.0,1.04,0.0,611,349,19.81146464126046,B
KXWCFTTS,6,698,100.0,5.0,23.7,300.0,2.27,0.2,3933,3546,19.530368605478415,B
KXINXU,60,126,93.6,2.0,1600.0,0.0,1.18,0.5,109739,103253,19.176417545566434,B
KXAAAGASW,15,698,100.0,3.0,21.0,32.0,1.69,0.7,24587,20365,18.626661606550897,B
KXVALORANTMAP,56,698,100.0,7.0,112.0,27.0,2.8,0.9,518,1548,18.58289571490207,B
KXALBUMEQUIV,10,698,100.0,2.0,250.0,250.0,0.85,0.0,591,591,14.151617727956774,B
KXVALORANTGAME,26,698,99.7,5.0,100.0,50.0,3.58,2.7,18468,14577,13.403737024200776,B
KXVANCEMENTION,23,698,100.0,5.0,6.0,8.0,3.54,0.4,7223,6231,13.268889237568676,B
KXMLBF3,42,698,100.0,4.0,871.0,1000.0,2.68,0.1,694,604,10.668516862354132,B
KXMLBTEAMTOTAL,196,698,100.0,3.0,50.0,79.0,2.7,1.4,10578,11001,10.641418467490004,B
KXMLBKS,235,698,99.3,3.0,33.0,962.5,3.5,2.5,355726,315795,10.623293774737007,B
KXBRENTD,40,397,94.4,3.0,200.0,200.0,2.71,1.5,7984,6844,9.604509573118664,B
KXWC1HSPREAD,4,698,100.0,2.0,209.0,207.0,1.63,0.1,852,733,9.01463756239844,B
KXATPCHALLENGERMATCH,148,698,99.8,2.0,894.0,1404.7,3.84,1.9,5481086,3762171,7.887558227350828,B
KXWTIMIN,24,698,100.0,2.0,126.0,656.8,2.18,0.3,1896,1759,7.459583866826126,B
KXGOLDD,80,397,89.9,2.0,500.0,500.0,2.89,0.5,31055,26553,6.718822671652495,B
KXMLBF5SPREAD,56,698,100.0,3.0,218.0,500.0,3.54,0.7,1334,1333,6.548153527644478,B
KXSILVERD,80,397,92.9,2.0,500.0,500.0,3.12,1.0,11245,7287,5.681833036585576,B
KXHIGHCHI,6,698,88.9,1.0,29.9,21.0,2.7,0.5,32317,24673,0.0,B
KXHIGHAUS,6,698,90.0,1.0,157.0,24.0,3.02,0.6,21299,17104,0.0,B
KXWNBAGAME,6,698,100.0,1.0,157.5,511.7,3.24,1.1,10939,10669,0.0,B
KXWTI,15,698,94.5,1.0,500.0,300.0,1.24,0.3,6363,5616,0.0,B
KXPLATNERDROPOUT,5,698,99.9,1.0,489.4,268.3,2.15,0.2,1218854,573707,0.0,B
KXHIGHMIA,6,698,88.4,1.0,94.8,92.0,1.18,0.4,42584,29980,0.0,B
KXHIGHDEN,6,698,83.3,1.0,19.1,9.0,2.08,0.4,16999,11806,0.0,B
KXHIGHTNOLA,6,698,83.4,1.0,100.0,16.0,3.25,0.4,8633,6653,0.0,B
KXHIGHTSFO,6,698,98.7,1.0,15.0,12.0,2.86,0.4,16513,12051,0.0,B
KXHIGHTDC,6,698,100.0,1.0,31.0,10.0,2.7,0.5,10114,8199,0.0,B
KXHIGHTSEA,6,698,100.0,1.0,41.3,14.0,2.71,0.3,17537,12168,0.0,B
KXHIGHTATL,6,698,96.2,1.0,115.0,31.0,3.22,0.5,20706,17916,0.0,B
KXHIGHTDAL,6,698,95.5,1.0,62.4,13.0,3.12,0.6,13951,11147,0.0,B
KXHIGHTSATX,6,698,82.2,1.0,11.5,6.0,3.38,0.9,10024,8862,0.0,B
KXHIGHTHOU,6,698,85.8,1.0,22.0,11.1,2.41,0.5,12732,10282,0.0,B
KXHIGHTOKC,6,698,96.9,1.0,29.1,7.0,2.75,0.3,7066,5050,0.0,B
KXWTACHALLENGERMATCH,56,698,99.6,1.0,1001.0,2934.4,2.86,1.3,1892588,1239222,0.0,B
KXT,42,698,99.9,82.0,10.0,166.0,1.41,1.1,245,228,63.38742883126386,C
KXCS2TOTALMAPS,19,698,100.0,88.0,12.0,225.0,1.98,0.3,469,428,51.05692756331051,C
KXWCMENTION,38,698,96.2,29.0,6.0,8.0,4.11,3.0,452299,355086,43.81135061953937,C
KXWNBA4QTOTAL,28,176,92.9,98.0,100.0,200.0,3.39,3.1,10015,12311,37.65956244602882,C
KXCS2MAP,76,698,100.0,72.0,30.0,24.0,4.02,2.4,1897,10228,32.72968362466472,C
KXODIMATCH,4,698,100.0,83.0,500.0,194.5,4.08,3.4,829,829,24.734340938235437,C
KXDEBATEMENTION,18,618,95.8,17.0,10.0,8.0,4.9,0.5,1819,2069,23.882796499812624,C
KXEURUSD,15,140,86.7,4.0,100.0,100.0,1.01,2.0,192,187,19.242026811539752,C
KXLOLMAP,56,698,100.0,8.0,50.0,15.0,4.48,0.8,9911,9510,17.21917153172834,C
KXUSDJPY,15,140,88.6,3.0,100.0,100.0,0.98,0.1,187,182,15.67107775571936,C
KXATPGTOTAL,3,698,100.0,9.0,829.4,51.7,4.93,0.3,2817,2659,15.574799434512007,C
KXATPGSPREAD,3,698,100.0,4.0,800.0,800.0,1.99,0.2,425,425,13.47974890071306,C
KXWC2HTOTAL,8,698,100.0,5.0,6.0,138.0,2.25,0.1,174,174,12.972353876597824,C
KXTRUMPMENTION,55,698,99.5,5.0,7.0,15.1,5.33,2.0,122513,91832,10.809205703502547,C
KXWCMOF,6,698,100.0,7.0,15.0,5.0,5.38,0.2,361,347,8.489396092908144,C
KXMLBOUTS,28,698,99.0,4.0,12.0,750.0,5.16,1.8,25105,23040,7.850619571545127,C
KXMLBF7,42,698,100.0,4.0,904.0,1000.0,2.9,0.1,204,32,7.519593139388912,C
KXWCMOV,12,698,100.0,3.0,500.0,109.0,4.33,0.2,18795,18491,7.249620075905047,C
KXMLBF5TOTAL,98,698,99.9,3.0,125.0,493.0,5.15,0.6,6633,6521,5.4218661965862545,C
KXLOWTOKC,6,698,96.3,2.0,26.0,4.8,5.14,1.5,4358,3848,3.2317209043275974,C
KXMLBSPREAD,101,698,99.3,1.0,1396.0,1400.0,3.33,4.8,606030,405269,0.0,C
KXNBATEAMANNOUNCE,14,618,100.0,1.0,450.0,200.0,5.94,0.3,282,282,0.0,C
KXHIGHTMIN,6,698,100.0,1.0,23.0,10.0,4.02,0.3,8986,6073,0.0,C
KXLOWTDEN,6,698,96.1,1.0,5.0,23.0,4.32,1.9,6284,4610,0.0,C
KXHIGHPHIL,6,698,96.6,1.0,16.8,9.0,4.49,0.8,19419,15457,0.0,C
KXWNBA3QTOTAL,28,176,78.1,96.0,100.0,200.0,1.5,1.6,15607,10396,75.76002303133896,D
KXWCSTART,156,643,79.3,97.0,704.0,5.0,1.7,0.0,152,142,39.79210109627186,D
KXWTADOUBLES,4,698,100.0,64.0,10.0,10.0,2.65,1.6,89,89,28.017711035435443,D
KXWCGOAL,60,698,72.2,6.0,25.0,300.0,2.48,1.1,1284678,1121542,24.846413782394453,D
KXWNBA1QTOTAL,21,112,78.3,85.0,3.0,5.0,4.56,4.2,21686,16727,24.146626364368917,D
KXWNBA2QTOTAL,28,150,93.0,94.0,100.0,25.0,6.97,2.8,46585,27561,20.70451886453747,D
KXWNBA3PT,26,208,95.0,25.0,25.0,1.0,8.12,3.1,3540,4203,14.377667468826354,D
KXWNBASPREAD,40,648,99.4,5.0,42.0,43.0,4.55,7.0,160411,86209,11.207986900455964,D
KXITFWMATCH,252,698,99.6,6.0,50.0,111.6,8.19,5.4,17790479,10463399,10.773463934609184,D
KXITFMATCH,316,698,99.6,6.0,50.0,76.0,8.47,5.0,14543834,8681619,10.405779797430885,D
KXWNBAAST,16,208,81.8,30.0,8.0,8.0,8.67,7.4,1688,1727,9.422740676857272,D
KXWCDELAY,5,653,86.3,82.0,5.0,10.0,8.69,0.4,307,262,9.34064672615907,D
KXNATGASD,170,698,99.8,4.0,200.0,200.0,6.18,2.9,16763,11033,6.0808186263825155,D
KXCOPPERD,80,398,95.8,7.0,200.0,0.0,8.84,1.5,1216,1130,5.633868428779251,D
KXMLBHIT,400,698,83.7,3.0,54.0,500.0,8.41,4.7,201357,190806,3.370248294407217,D
KXMLBTB,501,698,76.1,3.0,62.0,260.0,7.48,3.5,93482,87761,3.344260360912888,D
KXMLBHRR,602,698,79.4,3.0,75.0,500.0,8.69,5.6,170102,165465,2.985990758119685,D
KXLOWTDC,6,698,79.6,2.0,21.0,13.0,5.12,1.2,11089,9670,2.9835543619068003,D
KXLOWTMIA,6,698,71.6,3.0,14.0,6.0,7.53,3.4,13782,11035,2.619444662128093,D
KXLOWTHOU,6,698,82.6,2.0,13.0,15.0,6.33,1.8,12204,8721,2.4633954713811996,D
KXLOWTAUS,6,698,78.4,3.0,28.0,6.0,9.23,5.0,20358,15947,2.3265706789618057,D
KXLOWTATL,6,698,71.3,3.0,13.0,5.0,8.71,1.9,11627,9182,2.3101667738634077,D
KXLOWTSATX,6,698,74.0,2.0,17.0,6.0,9.59,3.1,7881,5023,1.33647409918135,D
KXMLBHR,236,698,70.2,1.0,21.0,1063.0,4.57,3.2,968895,933633,0.0,D
KXCPINDEX,20,698,80.0,1.0,303.0,336.0,2.87,0.6,37474,25395,0.0,D
KXHIGHTLV,6,698,72.3,1.0,39.9,30.0,2.86,0.2,10164,7273,0.0,D
KXHIGHTBOS,6,698,75.7,1.0,12.0,11.0,3.23,0.6,23381,10122,0.0,D
KXLOWTNOLA,6,698,86.7,1.0,10.0,8.0,6.66,1.6,8822,7670,0.0,D
KXLOWTBOS,6,698,79.6,1.0,9.0,6.0,2.76,0.7,3686,2994,0.0,D
KXLOWTDAL,6,698,92.7,1.0,10.0,6.0,8.74,1.9,14713,8509,0.0,D
KXNASCARTOP3,69,698,42.2,8.0,100.0,100.0,0.15,0.0,2841,2796,29.159473051571624,E
KXMLBRFI,13,698,100.0,14.0,11.0,10.0,0.88,0.2,3,3,27.08026052363259,E
KXWNBA4QSPREAD,28,176,59.3,92.0,7.0,7.0,2.35,7.6,3019,3119,26.88540455783407,E
KXWNBA2QSPREAD,28,178,63.9,92.0,10.0,7.0,3.27,1.8,6483,6391,26.316889358211217,E
KXNBAWINS,157,678,63.4,98.0,200.0,250.0,2.98,0.1,832,686,23.30874134297972,E
KXUSFLYCAN,9,698,100.0,90.0,10.0,9.0,2.79,0.1,24,23,20.75065669072295,E
KXWNBA2HTOTAL,28,182,42.5,94.0,5.0,5.0,2.41,1.5,1387,1543,20.207768963859493,E
KXKBOGAME,10,44,100.0,30.0,10.0,5.0,1.91,4.2,8,8,19.76053870014007,E
KXWNBA1QSPREAD,21,114,67.0,81.0,5.0,5.0,4.7,3.8,10341,10281,19.06840033612451,E
KXWNBA2HSPREAD,30,182,52.8,92.0,10.0,10.0,2.97,3.4,1196,1099,18.726978239417917,E
KXWNBA3QSPREAD,28,176,58.9,94.0,16.6,7.0,4.43,1.9,10665,7588,18.513628929363463,E
KXPGATOP10,312,698,42.1,4.0,1000.0,54.0,0.76,0.0,27729,27734,18.395156218007997,E
KXWNBA4QWINNER,12,176,67.6,24.0,10.0,5.0,4.41,10.6,3689,4665,15.754379543670415,E
KXPGAR1TOP5,312,698,69.7,86.0,10.0,10.0,3.23,0.0,50,50,14.93841640977566,E
KXWNBA3QWINNER,12,176,62.4,28.0,31.0,4.0,5.1,3.3,3563,2835,14.635421860662165,E
KXNASCARRACE,69,698,58.6,2.0,404.1,1249.9,0.23,0.0,91502,91361,14.200535639753006,E
KXLOWTPHIL,6,698,42.4,16.0,9.0,8.0,3.75,3.8,4831,3665,13.774242794030526,E
KXWNBAPTS,69,208,93.7,15.0,5.0,7.0,9.33,11.2,63648,59247,13.21407527641595,E
KXWNBA2QWINNER,12,150,62.0,80.0,128.0,17.0,5.72,3.7,4233,3782,13.155084856602318,E
KXMLBFASTPITCH,7,698,100.0,97.0,5.0,226.0,1.39,0.0,1,1,11.8555282949796,E
KXWNBA1HSPREAD,12,150,82.8,15.0,15.0,13.0,8.52,13.8,55647,29868,11.707806073009849,E
KXPUREALBUMS,10,643,98.4,55.0,10.0,10.0,4.34,0.2,15,15,11.609067058066524,E
KXWNBA2HWINNER,12,182,46.3,84.0,200.0,10.0,4.43,3.6,1317,2102,11.513681340658833,E
KXNBASUMMERTOTAL,36,698,88.4,94.0,10.0,10.0,9.95,8.6,21911,18721,11.242186530206824,E
KXWNBAREB,57,208,96.1,24.0,25.0,8.0,10.2,13.1,22989,24355,10.921596483528267,E
KXWNBA1HWINNER,12,150,82.3,17.0,34.0,27.0,10.23,11.7,88157,59754,10.633264812008791,E
KXWNBA1QWINNER,9,112,70.0,34.0,31.0,5.0,7.61,4.1,3069,2196,10.528254238586886,E
KXWCTCORNERS,6,548,100.0,37.0,100.0,10.0,4.5,5.2,14,14,9.709618886927547,E
KXWCCORNERS,5,548,100.0,29.0,10.0,10.0,8.06,8.7,114,105,7.960165254965771,E
KXNHLWEST,16,698,58.4,3.0,350.0,1.0,0.13,0.0,45,45,7.90302585541752,E
KXNBASUMMERSPREAD,40,698,85.4,74.0,9.9,10.0,13.91,11.9,23080,22721,7.2832660803154035,E
KXWC2HSPREAD,4,698,100.0,22.0,10.0,10.0,6.19,0.1,5,5,5.793351623961002,E
KXMLBRBI,276,698,66.0,7.0,13.0,1000.0,6.84,4.2,7408,7385,5.75980981315152,E
KXMLBSB,107,601,47.7,8.0,7.0,45.0,7.63,1.3,5445,5333,4.469580838665909,E
KXHIGHTPHX,6,698,66.9,2.0,11.0,10.0,3.28,0.7,14081,11158,4.0497766279127925,E
KXLOWTLAX,6,698,50.9,2.0,10.0,7.0,3.38,1.3,9116,6552,2.800060774302865,E
KXAAAGASD,34,216,71.9,2.0,100.0,20.0,5.5,10.5,121164,86838,2.4346702509535927,E
KXTEMPNYCH,312,698,54.0,3.0,20.0,0.0,5.52,8.9,14746,19703,2.4199249808167944,E
KXLOWTSFO,6,698,57.4,3.0,8.0,7.0,6.81,3.3,6458,5405,2.1584882810209516,E
KXLOWTCHI,6,698,52.4,3.0,4.0,7.0,7.27,2.4,15307,10444,2.048601467993906,E
KXLOWTMIN,6,698,63.5,5.0,9.5,4.2,14.74,7.1,15977,11943,1.817874296758593,E
KXLOWTPHX,6,698,47.5,2.0,35.0,8.0,5.14,2.7,18225,10680,1.756230583758076,E
KXWNBAOT,3,698,100.0,2.0,32.0,10.0,11.01,0.1,8,7,0.5021427492707675,E
KXXRPD,790,698,53.5,1.0,28304.0,0.0,0.28,0.4,16238,18161,0.0,E
KXBNBD,790,698,52.6,1.0,5438.0,0.0,0.59,0.7,1119,1641,0.0,E
KXHYPED,790,698,45.4,1.0,20300.0,0.0,0.63,1.0,5952,6760,0.0,E
KXSOLD,825,698,53.5,1.0,23789.0,0.0,0.84,1.1,122081,120074,0.0,E
KXETHD,790,698,53.1,1.0,31845.0,0.0,0.59,1.2,457123,342529,0.0,E
KXBTCD,1960,698,56.9,1.0,14133.0,0.0,1.03,2.2,14767533,6104991,0.0,E
KXNPBGAME,18,587,100.0,53.0,5.0,151.0,2.46,3.8,0,0,0.0,E
KXPGATOUR,27,698,51.8,0.1,523.6,372.3,0.33,0.0,16524,16510,0.0,E
KXLATENIGHTMENTION,14,698,65.7,1.0,50.0,50.0,11.96,4.3,113076,75465,0.0,E
KXTECHRANKLISTAICODE,9,698,44.4,1.0,2028.8,4646.0,0.0,0.0,21272,19448,0.0,E
KXNHLEAST,16,698,50.7,1.0,346.0,1.0,0.07,0.0,13,13,0.0,E
KXWT,8,698,100.0,85.0,500.0,133.0,1.12,1.3,0,0,0.0,E
KXHIGHLAX,6,698,56.3,1.0,97.4,83.0,2.55,0.1,88119,67540,0.0,E
KXNZNBLGAME,4,698,100.0,78.0,1000.0,10.0,1.36,0.1,0,0,0.0,E
KXLOWTSEA,6,698,54.2,1.0,7.0,10.0,5.73,2.5,11325,10233,0.0,E
KXNBASUMMERGAME,16,698,100.0,78.0,200.0,200.0,1.37,0.2,0,0,0.0,E
KXDOTA2MAP,4,698,100.0,5.0,208.0,226.0,1.86,0.5,0,0,0.0,E
KXNASCARTOPTEAM,28,698,35.7,6.0,100.0,5.0,0.37,0.0,394,447,14.428040790507064,F
KXPGATOP5,312,698,31.7,3.0,4000.0,53.0,0.5,0.0,20505,20503,10.101091038936469,F
KXWNBA1HTOTAL,4,150,78.4,11.0,102.0,41.0,8.02,15.0,55145,29744,8.416436345653873,F
KXNASCARFASTLAP,69,698,14.9,6.0,100.0,5.0,0.36,0.0,1610,1610,7.221237751502091,F
KXNASDAQ100,30,91,39.1,4.0,1000.0,1000.0,1.17,0.3,36,36,5.684123712193747,F
KXMADDOWMENTION,14,692,28.8,25.0,47.0,5.0,5.67,13.0,13436,12867,5.5786098241073825,F
KXNBASUMMER,30,698,10.9,13.0,296.0,864.0,2.11,0.0,813,813,4.965875228876482,F
KXLOWTLV,6,698,39.9,2.0,3.0,8.0,1.68,0.3,6152,4549,4.367827860717387,F
KXINX,30,91,25.6,4.0,1000.0,1000.0,2.26,1.8,450,1036,3.1400918243082394,F
KXPGAR1LEAD,15,698,5.5,4.3,36.8,25.0,1.82,0.7,2103,1903,1.0558256036236011,F
KXZEC15M,38,556,97.7,4.6,35.0,40.7,18.58,57.8,29297,62873,1.011364320961922,F
KXNEAR15M,38,556,96.6,4.0,43.0,32.7,18.09,61.0,21262,70046,0.8620936526758132,F
KXSHIBA,28,685,6.6,5.0,100.0,100.0,3.6,0.3,1550,1434,0.726915306277616,F
KXXRP,790,698,7.0,5.0,100.0,100.0,3.67,8.8,3879,3999,0.6769273391284083,F
KXLOWTNYC,6,698,37.5,2.0,17.0,8.0,11.61,6.5,25168,21346,0.580991540992435,F
KXBNB,790,698,10.8,5.0,100.0,100.0,4.91,13.3,416,410,0.5281070033021541,F
KXDOGE15M,38,556,95.5,2.0,249.0,103.3,17.42,59.3,180410,202083,0.5071667642957692,F
KXBNB15M,38,556,96.4,2.0,212.6,101.5,19.07,61.9,168446,198793,0.4534433632641806,F
KXBTC,1960,698,7.6,3.0,500.0,644.0,5.46,11.7,217858,150466,0.3961537625559179,F
KXHYPE,790,698,10.2,5.0,100.0,100.0,8.0,17.0,548,781,0.303675203048018,F
KXETH,790,698,5.8,5.0,5000.0,260.0,8.82,21.7,12527,9981,0.1995825004966421,F
KXSOLE,825,698,6.3,5.0,100.0,100.0,8.81,19.7,2527,2705,0.1924319688434194,F
KXPGAR2LEAD,312,698,0.3,27.0,10.0,5.0,0.33,0.0,31,31,0.1864410626876189,F
KXDOGE,553,698,6.6,5.0,41.0,100.0,11.21,23.8,4638,3872,0.155418818771548,F
KXCYCLINGJERSEY,368,698,1.2,97.0,5000.0,80.0,9.54,0.1,4,4,0.0413330682920337,F
KXDOGED,553,698,33.7,1.0,24300.0,0.0,0.93,1.9,5388,4228,0.0,F
KXSHIBAD,28,362,30.3,1.0,6500.0,0.0,0.39,0.0,0,0,0.0,F
KXHYPE15M,38,556,96.8,1.0,21.0,21.8,18.14,58.1,260248,293450,0.0,F
KXPGAR3LEAD,312,698,0.5,75.0,251.0,261.0,3.38,0.3,0,0,0.0,F
KXPGAR3TOP10,312,698,14.2,88.0,10.0,10.0,1.79,0.0,0,0,0.0,F
KXXRP15M,38,556,94.6,1.0,28.6,17.5,17.95,63.7,220425,224104,0.0,F
KXSOL15M,38,556,96.0,1.0,11.0,12.0,18.85,61.6,243176,240234,0.0,F
KXETH15M,38,556,95.7,1.0,77.2,74.0,18.36,61.9,899754,794405,0.0,F
KXBTC15M,38,556,94.4,1.0,1030.2,736.7,17.84,61.4,19246582,11167106,0.0,F
KXGOLFTOURN,90,619,3.9,21.0,500.0,500.0,0.43,0.0,0,0,0.0,F
KXHIGHNY,6,698,39.3,1.0,400.9,131.0,2.82,0.0,49077,38221,0.0,F
KXLIUSAELIMINATION,13,138,7.7,1.0,298988.3,0.0,0.0,0.0,351029,296759,0.0,F
KXTOPMODEL,10,698,30.0,1.0,141.0,364.9,1.58,0.0,14983,12319,0.0,F
KXLLM1,8,698,37.5,1.0,2028.7,6402.4,0.12,0.0,32659,29964,0.0,F
KXLIUKELIMINATION,21,138,4.8,1.0,226244.0,0.0,0.0,0.0,14297,11011,0.0,F
KXLOVEISLMENTION,18,695,9.6,1.0,498098.5,0.0,0.0,0.0,436414,407143,0.0,F
KXKFTOUR,12,698,0.7,1.0,50.0,101.0,0.0,0.0,0,0,0.0,F
KXWORLDNEWSMENTION,14,698,16.4,1.0,12224.5,0.0,1.28,1.2,286436,232457,0.0,F
KXLPGAR3LEAD,134,698,0.0,,,,,,0,0,,F
KXLPGAR2LEAD,134,698,0.0,,,,,,0,0,,F
KXNEXTTEAMNBA,6,3,25.0,10.0,250.0,260.0,,,2228,2060,,F
